"Class","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3"
"Cer",2808519209.1312,2477752162.7531,3440338229.9855,2281175776.0598,4690856233.2401,2601230826.9181
"ChE",1.42e+08,111534519.8615,146119964.724,74298351.3905,103860599.957,86440100.3256
"Co",303696785.417,322740964.1,487763191.502,254113199.091,291400000,339327420.681
"DG",3500700102.292,1852540052.43,4105620619.0233,3122739469.3475,9361430142.1615,3085186348.0588
"DG(O)",7738.3299,0.095,18215.415,0.027,76600000,0
"Hex1Cer",2581717403.9576,1754244651.9036,2559245948.2128,2824743685.9817,5918735177.3366,3153088528.9664
"Hex2Cer",1843293819.9026,1617499068.7825,2194641260.156,2301336051.2055,3857539553.621,2582709331.0064
"Hex3Cer",20319516.318,16928458.637,23388567.385,13949312.753,28239194.582,16287221.502
"LPC",5680097940.9374,512917678.8113,1841574708.8122,865178659.0616,1961219180.4843,948326593.9137
"LPC(O)",127910148.1135,40255356.7925,77848490.8648,47387307.6325,98901646.342,56202096.951
"LPE",103836971.3688,96726597.252,143040678.886,139624019.963,165999630.109,148093836.668
"LPE(O)",1744984.123,3314493.505,3794483.105,2965521.393,1540562.411,3176506.86
"LPG",46364.2058,1143628.989,954511.0255,1232842.724,1139519.0902,1686165.0795
"LPI",0,0,0,0,0,0
"LSM",1954652.408,1801483.544,2412423.233,1545670.23,3241794.323,1937529.445
"MG",8973639.164,2407747.593,7571156.6493,7450078.4059,17082995.462,2496702.9972
"PA",4.23e+08,4.29e+08,6.2e+08,4.24e+08,6.7e+08,4.79e+08
"PC",55590212202.5866,53810039123.1119,72144620004.5814,57584601180.863,83801839476.2636,60097825738.2054
"PC(O)",9216806237.486,7784158707.2331,11804639767.5062,7998216447.6764,15700361960.8549,8164197319.338
"PE",9331872331.4199,9408817136.2639,14112201222.4872,8752797690.6716,17275758603.9962,9378537467.8803
"PE(O)",1884256682.792,2881342114.6359,3311137465.3262,2587764912.1044,1379356710.5744,2513804831.0841
"PE(P)",2079405263.134,1950097472.841,2991547454.7433,1760267013.32,4428407295.791,1519877545.353
"PG",491880717.0876,704622205.9745,905851033.5823,849217181.2614,556161753.7313,836298349.6884
"PI",227108286.542,279998345.2299,406140644.7339,857732450.2226,368649390.3688,211926736.7275
"PI(O)",511405.407,1037411.941,242652.5991,1480134.603,762666.537,479567.2761
"PS",441674455.0926,621329802.5262,687654519.3927,625443563.2732,356070237.7717,552764185.6492
"PS(O)",134553785.41,210629676.9606,229836086.212,184345951.1382,91858196.1776,181285950.3139
"SM",15931952775.379,14986246737.272,21889054796.2983,12129714974.2485,20430183224.768,13539518623.448
"SPH",1096444556.779,689309563.193,1003565883.224,884196715.033,1085686110.902,979315514.99
"TG",118397787932.726,117182476187.811,149959994157.383,24794852929.6499,39570637032.7508,27508767992.0816
"TG(O)",1088176208.3065,957551201.537,1477818451.612,704001209.791,1971936816.949,687954820.2799
